GEO_ID,NAME,DP05_0033E
36047008500,"Census Tract 85, Kings County, New York",7555
36047008600,"Census Tract 86, Kings County, New York",0
36047008800,"Census Tract 88, Kings County, New York",2636
36047009000,"Census Tract 90, Kings County, New York",2872
36047009200,"Census Tract 92, Kings County, New York",5668
36047009400,"Census Tract 94, Kings County, New York",5253
36047009600,"Census Tract 96, Kings County, New York",6218
36047009800,"Census Tract 98, Kings County, New York",7012
36047010000,"Census Tract 100, Kings County, New York",6178
36047010100,"Census Tract 101, Kings County, New York",4057
36047010200,"Census Tract 102, Kings County, New York",5142
36047010400,"Census Tract 104, Kings County, New York",5362
36047010600,"Census Tract 106, Kings County, New York",4426
36047010800,"Census Tract 108, Kings County, New York",3795
36047011000,"Census Tract 110, Kings County, New York",2445
36047011200,"Census Tract 112, Kings County, New York",6267
36047011400,"Census Tract 114, Kings County, New York",4177
36047011600,"Census Tract 116, Kings County, New York",3414
36047011700,"Census Tract 117, Kings County, New York",2608
36047011800,"Census Tract 118, Kings County, New York",1967
36047011900,"Census Tract 119, Kings County, New York",1377
36047012000,"Census Tract 120, Kings County, New York",1107
36047012100,"Census Tract 121, Kings County, New York",2020
36047012200,"Census Tract 122, Kings County, New York",5756
36047012600,"Census Tract 126, Kings County, New York",2856
36047012700,"Census Tract 127, Kings County, New York",4800
36047012801,"Census Tract 128.01, Kings County, New York",2279
36047012901,"Census Tract 129.01, Kings County, New York",2641
36047012902,"Census Tract 129.02, Kings County, New York",2390
36047013000,"Census Tract 130, Kings County, New York",5028
36047013100,"Census Tract 131, Kings County, New York",4226
36047013200,"Census Tract 132, Kings County, New York",2200
36047013300,"Census Tract 133, Kings County, New York",4408
36047013400,"Census Tract 134, Kings County, New York",3976
36047013500,"Census Tract 135, Kings County, New York",3920
36047013600,"Census Tract 136, Kings County, New York",3888
36047013700,"Census Tract 137, Kings County, New York",3512
36047013800,"Census Tract 138, Kings County, New York",3083
36047013900,"Census Tract 139, Kings County, New York",3420
36047014000,"Census Tract 140, Kings County, New York",1979
36047014100,"Census Tract 141, Kings County, New York",3033
36047014200,"Census Tract 142, Kings County, New York",2755
36047014300,"Census Tract 143, Kings County, New York",3469
36047014500,"Census Tract 145, Kings County, New York",3848
36047014700,"Census Tract 147, Kings County, New York",2473
36047014800,"Census Tract 148, Kings County, New York",1320
36047014900,"Census Tract 149, Kings County, New York",5888
36047015000,"Census Tract 150, Kings County, New York",1567
36047015100,"Census Tract 151, Kings County, New York",4216
36047015200,"Census Tract 152, Kings County, New York",2382
36047015300,"Census Tract 153, Kings County, New York",2678
36047015400,"Census Tract 154, Kings County, New York",0
36047015500,"Census Tract 155, Kings County, New York",4028
36047015700,"Census Tract 157, Kings County, New York",4049
36047015900,"Census Tract 159, Kings County, New York",5314
36047016000,"Census Tract 160, Kings County, New York",3965
36047016100,"Census Tract 161, Kings County, New York",3235
36047016200,"Census Tract 162, Kings County, New York",2204
36047016300,"Census Tract 163, Kings County, New York",3194
36047016400,"Census Tract 164, Kings County, New York",1069
36047016500,"Census Tract 165, Kings County, New York",6003
36047016600,"Census Tract 166, Kings County, New York",1863
36047016700,"Census Tract 167, Kings County, New York",5531
36047016800,"Census Tract 168, Kings County, New York",1734
36047016900,"Census Tract 169, Kings County, New York",5003
36047017000,"Census Tract 170, Kings County, New York",3578
36047017100,"Census Tract 171, Kings County, New York",4206
36047017200,"Census Tract 172, Kings County, New York",3282
